householdID,total_ppl,own_rent,square_foot,household_income,number_pets,region,entertainment_spend_est,travel_spend_est,under_12,LL_passholder
170,1.0,rent,3714,82443.83,2,North Shore,988.25,4610.89,1.0,No
171,1.0,rent,2670,116702.37,1,MetroWest,5086.92,3465.02,1.0,No
172,2.0,own,2476,84539.56,2,South Shore,2356.41,3525.52,2.0,No
173,2.0,own,3200,138070.99,1,MetroWest,3922.57,4164.72,2.0,No
174,2.0,own,4148,86465.9,1,South Shore,3468.54,4159.95,2.0,No
175,2.0,own,2461,107390.56,1,Middlesex,4836.47,4348.52,2.0,No
176,2.0,own,3645,43120.59,1,North Shore,2195.21,3891.37,2.0,No
177,3.0,own,2463,68001.11,2,Middlesex,3266.68,4408.78,3.0,No
178,2.0,own,3531,122408.19,2,MetroWest,7098.55,5733.41,2.0,No
179,1.0,own,3909,84383.73,1,MetroWest,4552.62,4927.59,1.0,Yes
180,1.0,own,3174,128508.99,1,Suffolk,2647.42,4177.78,1.0,No
181,1.0,own,3659,123545.3,2,MetroWest,6052.22,3989.05,1.0,No
182,0.0,own,3520,130008.49,1,Suffolk,5082.84,4188.49,0.0,No
183,0.0,own,2331,99499.71,2,Suffolk,4075.37,3423.82,0.0,No
184,3.0,own,4289,115306.35,1,MetroWest,4656.24,4909.24,3.0,No
185,1.0,own,1947,65654.55,1,Suffolk,2048.29,3958.66,1.0,No
186,1.0,rent,3983,69951.6,1,Suffolk,4861.85,3700.84,1.0,No
187,2.0,own,2797,55483.05,1,South Shore,3206.74,3001.74,2.0,No
188,0.0,rent,3117,95083.39,1,Suffolk,3398.73,4644.57,0.0,No
189,2.0,own,2906,86611.24,2,Middlesex,1411.9,1666.87,2.0,No
190,3.0,own,3742,118980.01,2,MetroWest,4814.92,4275.13,3.0,Yes
191,1.0,own,4216,117407.04,0,MetroWest,5590.96,4181.19,1.0,No
192,2.0,own,4799,138896.73,2,MetroWest,3514.67,4646.04,2.0,No
193,1.0,own,3124,98904.6,2,Suffolk,4210.84,3952.58,1.0,No
194,1.0,rent,3038,154649.04,2,MetroWest,4299.94,3538.59,1.0,No
195,1.0,own,1941,77655.8,3,South Shore,2976.48,3425.62,1.0,Yes
196,2.0,rent,1630,20359.3,2,North Shore,1827.35,2426.86,2.0,No
197,0.0,rent,3392,74339.05,1,Suffolk,3488.64,5009.05,0.0,Yes
198,1.0,rent,1632,88117.25,2,Suffolk,4077.65,3799.25,1.0,No
199,1.0,own,4194,66400.97,3,North Shore,1469.86,3205.8,1.0,No
200,1.0,own,3610,96915.33,2,South Shore,3043.61,3513.27,1.0,No
201,2.0,rent,2964,44807.4,2,Middlesex,3059.01,3710.69,2.0,No
202,1.0,own,2150,105731.56,1,Suffolk,3853.19,3077.17,1.0,No
203,1.0,own,3926,84404.05,1,Suffolk,3117.06,4142.48,1.0,No
204,1.0,own,2423,121244.52,2,MetroWest,4718.18,3151.78,1.0,No
205,1.0,own,3966,45162.52,1,North Shore,2665.46,2998.41,1.0,No
206,1.0,own,1856,77682.6,2,South Shore,3977.92,4461.86,1.0,No
207,2.0,rent,3238,24643.37,2,North Shore,2234.06,3660.75,2.0,Yes
208,2.0,rent,4220,73999.94,2,Middlesex,5113.57,4050.21,2.0,No
209,1.0,own,2606,85478.41,2,MetroWest,5349.73,4707.19,1.0,No
210,2.0,rent,4944,109428.62,1,Middlesex,3953.83,5040.72,2.0,No
211,0.0,own,2948,113861.89,2,MetroWest,6583.06,4618.72,0.0,No
212,2.0,own,3969,106454.73,1,South Shore,1987.26,3459.01,2.0,No
213,2.0,own,2769,80933.74,2,North Shore,1904.71,3915.69,2.0,No
214,3.0,rent,3478,81324.09,1,Middlesex,1251.35,4371.78,3.0,No
215,2.0,own,4150,101234.36,2,South Shore,4672.69,4469.88,2.0,No
216,0.0,rent,2772,70971.48,2,Suffolk,4189.83,3950.9,0.0,Yes
217,2.0,own,3715,121460.06,1,MetroWest,3742.8,4419.64,2.0,No
218,3.0,own,4247,104031.49,3,MetroWest,4656.8,5748.66,3.0,No
219,2.0,rent,2524,69058.73,1,North Shore,1175.54,3887.56,2.0,No
220,1.0,own,3794,64316.94,1,North Shore,3122.13,3461.74,1.0,No
221,3.0,own,3444,72171.59,1,Middlesex,4327.21,4918.5,3.0,No
222,1.0,rent,2842,103771.85,1,Suffolk,3581.41,4817.39,1.0,No
223,1.0,rent,2563,74986.68,3,Middlesex,2113.05,3524.09,1.0,No
224,1.0,own,3161,125044.24,2,MetroWest,4563.84,5115.3,1.0,No
225,0.0,own,1805,76039.81,1,South Shore,2461.8,3927.64,0.0,No
226,,own,3631,109988.36,1,Suffolk,3671.61,4788.12,,Yes
227,3.0,own,3023,95941.28,2,MetroWest,5357.78,3982.11,3.0,Yes
228,2.0,own,3829,46782.22,2,North Shore,3872.48,3488.43,2.0,No
229,3.0,own,3241,93500.03,2,Middlesex,3691.21,3641.12,3.0,No
230,1.0,own,2757,122171.57,2,Suffolk,2751.04,3646.71,1.0,No
231,1.0,own,3229,73258.08,1,North Shore,1208.46,3969.13,1.0,No
232,2.0,own,1572,31925.7,1,South Shore,3778.88,4656.52,2.0,No
233,3.0,rent,2667,92449.02,0,MetroWest,4469.49,5277.71,3.0,No
234,0.0,rent,2749,95635.82,1,Suffolk,2873.67,4396.79,0.0,No
235,2.0,rent,2791,77847.67,1,South Shore,3726.93,3774.02,2.0,No
236,2.0,own,2716,43814.11,1,North Shore,2861.99,4352.2,2.0,No
237,1.0,own,1986,114909.09,1,Middlesex,2239.45,4956.96,1.0,No
238,0.0,own,2422,67893.02,0,Suffolk,4187.43,2968.37,0.0,No
239,2.0,own,2149,69058.85,1,South Shore,3334.01,3172.48,2.0,No
240,1.0,own,3046,110674.98,2,MetroWest,5678.37,3541.82,1.0,No
241,2.0,own,2107,96478.26,2,MetroWest,5454.74,4676.03,2.0,No
242,1.0,own,2888,96492.5,3,Suffolk,5004.89,3797.73,1.0,No
243,2.0,own,4765,80387.44,2,Middlesex,4555.38,5475.82,2.0,Yes
244,2.0,own,4477,71066.45,2,North Shore,2771.08,2822.3,2.0,No
245,2.0,own,3223,90815.48,2,Middlesex,3083.44,3404.79,2.0,No
246,1.0,own,3263,49454.51,2,South Shore,3847.28,4252.53,1.0,No
247,1.0,own,3064,64719.55,2,Middlesex,3392.78,3126.68,1.0,No
248,2.0,own,4281,77437.88,2,Middlesex,3069.3,4969.31,2.0,No
249,1.0,own,1984,56290.77,1,South Shore,2936.75,4854.22,1.0,No
250,2.0,own,4293,55678.3,1,North Shore,2816.67,3636.83,2.0,No
251,1.0,own,2657,93128.85,3,Middlesex,2461.45,3704.5,1.0,Yes
252,3.0,own,3645,76712.78,2,North Shore,3025.93,3673.0,3.0,No
253,2.0,own,1745,92170.93,1,Suffolk,4092.23,3667.47,2.0,No
254,0.0,own,2344,97050.02,2,Suffolk,3888.88,4035.3,0.0,No
255,2.0,own,4299,56724.42,1,North Shore,3236.11,3538.04,2.0,No
256,2.0,own,2644,84877.17,1,Suffolk,3955.1,4027.33,2.0,No
257,2.0,own,2190,98560.01,1,Middlesex,4292.66,4598.83,2.0,No
258,1.0,rent,2841,130552.49,2,Suffolk,4388.08,3985.08,1.0,No
259,1.0,own,3770,84688.22,1,Suffolk,2925.09,4042.22,1.0,No
260,2.0,own,2301,46462.01,2,Middlesex,3286.94,4852.2,2.0,Yes
261,2.0,rent,3505,48088.62,2,North Shore,1960.3,3453.17,2.0,Yes
262,3.0,own,2687,75437.67,1,North Shore,1858.68,3835.49,3.0,Yes
263,3.0,rent,2767,58399.25,3,South Shore,4369.38,4081.52,3.0,No
264,2.0,rent,2859,124619.1,1,Suffolk,3286.52,5094.37,2.0,No
265,3.0,rent,2959,83179.87,2,Middlesex,4597.75,4461.76,3.0,No
266,2.0,own,2626,90977.31,2,South Shore,2415.28,3612.37,2.0,No
267,1.0,own,3450,49203.3,1,North Shore,1488.97,3003.92,1.0,No
268,2.0,rent,3675,76562.63,1,South Shore,3002.93,3355.3,2.0,No
269,2.0,own,2943,68635.52,1,Middlesex,2918.76,1989.7,2.0,No
270,2.0,rent,1715,50347.0,2,North Shore,2910.43,3923.4,2.0,No
271,1.0,own,2892,87368.91,0,Suffolk,3796.6,3276.7,1.0,No
272,1.0,own,4009,83210.66,2,Suffolk,3388.66,4819.05,1.0,No
273,0.0,own,3840,129409.62,1,Suffolk,3401.54,4456.94,0.0,No
274,2.0,rent,2384,79144.81,2,Middlesex,4362.82,5544.4,2.0,No
275,3.0,rent,3734,103756.68,3,MetroWest,3633.29,5445.7,3.0,No
276,2.0,own,4105,136527.13,1,MetroWest,4559.73,3828.87,2.0,No
277,3.0,own,1197,113588.26,1,MetroWest,5152.1,3943.63,3.0,No
278,0.0,own,3878,67763.71,1,North Shore,2194.31,3758.57,0.0,Yes
279,3.0,rent,1721,100372.54,2,South Shore,3761.94,4153.66,3.0,Yes
280,0.0,rent,3501,91992.95,1,Suffolk,3815.65,4615.2,0.0,No
281,1.0,own,2431,54404.07,1,North Shore,1017.18,3916.0,1.0,No
282,1.0,own,2539,75204.0,1,Middlesex,3854.98,3874.95,1.0,No
283,2.0,own,4621,97614.21,1,Middlesex,3819.61,2540.95,2.0,No
284,1.0,own,3282,114056.33,1,MetroWest,4782.11,4700.54,1.0,No
285,1.0,own,3728,62659.81,1,South Shore,5451.6,3852.48,1.0,No
286,1.0,own,4487,66906.08,0,South Shore,3148.09,4024.43,1.0,No
287,1.0,own,4097,84010.69,1,South Shore,3297.52,4804.5,1.0,No
288,1.0,own,3988,73761.3,2,MetroWest,4854.99,4889.22,1.0,No
289,2.0,own,3217,54737.78,2,North Shore,3144.02,2347.35,2.0,No
290,2.0,own,3233,71600.52,1,Middlesex,2865.9,4299.95,2.0,Yes
291,2.0,own,3009,71264.91,1,North Shore,1621.71,3591.78,2.0,No
292,1.0,own,2569,85388.53,1,MetroWest,5120.57,2954.46,1.0,No
293,2.0,own,3842,100774.88,2,Middlesex,2895.37,5046.2,2.0,No
294,2.0,own,2403,53871.14,2,Suffolk,3575.97,3629.05,2.0,No
295,1.0,own,3469,111595.75,1,Suffolk,4209.75,4584.95,1.0,No
296,0.0,own,3851,114044.43,2,Suffolk,4668.61,4496.78,0.0,No
297,2.0,rent,1827,83200.79,2,South Shore,4097.64,3549.0,2.0,Yes
298,2.0,own,1760,118369.23,2,MetroWest,6443.8,4498.17,2.0,Yes
299,0.0,own,3498,84548.45,2,Suffolk,3918.63,3544.7,0.0,No
300,2.0,own,2358,43361.18,0,North Shore,1605.98,4994.26,2.0,No
301,1.0,own,2207,105424.54,0,Suffolk,3349.82,3599.8,1.0,No
302,3.0,own,3442,46366.63,3,South Shore,2640.38,3784.44,3.0,No
303,2.0,rent,2936,71721.08,2,South Shore,3112.81,3401.61,2.0,Yes
304,3.0,rent,2722,105027.84,2,South Shore,3810.02,3797.67,3.0,No
305,1.0,own,4591,87871.55,2,South Shore,4851.54,4794.85,1.0,No
306,2.0,own,3573,93088.44,1,North Shore,2404.4,4072.9,2.0,Yes
307,2.0,own,3876,114831.16,1,MetroWest,6929.66,4051.42,2.0,Yes
308,1.0,own,4689,107650.28,0,MetroWest,5222.15,5288.71,1.0,No
309,1.0,rent,2533,125898.25,1,MetroWest,4067.71,4600.21,1.0,No
310,2.0,own,4118,62784.43,2,North Shore,1320.07,3648.74,2.0,Yes
311,3.0,own,3611,57547.3,1,North Shore,1587.65,3813.66,3.0,No
312,2.0,own,3514,51428.29,1,Middlesex,1754.29,4618.02,2.0,No
313,1.0,own,4020,89281.96,1,Suffolk,4481.76,4321.95,1.0,No
314,0.0,own,3043,37843.37,0,North Shore,1816.05,2233.35,0.0,Yes
315,2.0,own,5016,71630.31,1,Middlesex,4238.17,3333.26,2.0,No
316,2.0,own,5027,63269.09,2,South Shore,2596.76,4681.84,2.0,No
317,2.0,own,3814,96191.18,2,Middlesex,3310.33,4843.83,2.0,Yes
318,2.0,own,3529,120025.92,2,MetroWest,5702.94,4089.59,2.0,No
319,1.0,rent,2707,37163.62,1,North Shore,491.12,2968.12,1.0,No
320,1.0,own,3698,75310.87,2,South Shore,4765.39,4083.97,1.0,No
321,2.0,rent,2646,99424.3,1,South Shore,3827.13,2458.12,2.0,No
322,1.0,own,2285,73981.34,2,Middlesex,3459.73,2659.37,1.0,No
323,1.0,own,2326,16298.08,2,North Shore,2273.65,3521.41,1.0,No
324,0.0,own,2750,101285.05,2,Suffolk,1554.19,4543.77,0.0,No
325,2.0,rent,2130,88307.32,2,Middlesex,3211.82,5236.66,2.0,No
326,2.0,own,2150,67317.01,1,Middlesex,4675.65,4164.69,2.0,No
327,2.0,own,4224,123272.18,1,South Shore,3654.71,3897.43,2.0,No
328,1.0,own,4279,89655.96,2,Suffolk,3644.37,3413.6,1.0,No
329,2.0,own,2453,64752.12,2,South Shore,2573.84,3843.94,2.0,No
330,3.0,own,3480,109650.92,2,Middlesex,3348.28,4342.09,3.0,No
331,0.0,rent,1620,78236.71,2,Middlesex,2898.82,4866.07,0.0,No
332,2.0,own,3473,78260.32,2,North Shore,2040.6,3297.23,2.0,Yes
333,2.0,own,2127,45557.95,1,North Shore,187.21,2807.15,2.0,No
334,1.0,own,2328,99211.86,2,Suffolk,5001.24,3972.46,1.0,No
335,2.0,own,3134,99995.9,2,South Shore,3672.52,5284.75,2.0,Yes
336,2.0,own,1775,66664.22,2,Middlesex,3991.41,3867.45,2.0,No
337,1.0,own,2312,113339.21,1,Suffolk,3259.11,4608.17,1.0,No
338,2.0,rent,2190,80110.5,2,Middlesex,2589.15,4756.36,2.0,No
339,1.0,own,3493,55356.14,0,Suffolk,6214.08,4532.05,1.0,No
340,0.0,rent,4560,130303.49,3,Suffolk,2365.38,5245.96,0.0,No
341,1.0,own,3025,73158.46,1,MetroWest,4264.37,3839.01,1.0,No
342,1.0,own,1968,118233.24,3,MetroWest,5524.15,4111.42,1.0,No
343,3.0,own,2714,95093.66,1,MetroWest,4998.72,3902.95,3.0,No
344,2.0,own,1961,120761.62,2,Middlesex,3731.29,2143.77,2.0,No
345,0.0,own,2983,77646.52,1,Suffolk,2320.05,3643.18,0.0,No
