"householdID","est_inc_USD","est_netw_USD","hhold_field","hhold_oldest","hhold_pax","hhold_youngest","homeState","hhold_car","stream_subs","primary"
169,46225,400384,"Govt",40,5,12,"Vermont","Sedan",7,"consume"
170,74628,383959,"Govt",38,8,11,"New York","SUV",4,"entertain"
171,62667,489661,"Govt",45,3,16,"New Hampshire","Pickup",1,"consume"
172,140082,472117,"Finance",34,1,34,"Ontario","LuxurySedan",3,"entertain"
173,75951,442529,"Govt",44,4,14,"Ontario","",4,"entertain"
174,119017,535128,"Services",34,6,11,"Massachusetts","LuxurySedan",3,"entertain"
175,75900,411676,"Tech",48,5,7,"New Hampshire","SUV",3,"entertain"
176,81435,471672,"Education",50,7,12,"Maine","Sedan",4,"entertain"
177,60820,470875,"Education",49,6,15,"New York","LuxurySedan",3,"entertain"
178,57845,438892,"Govt",44,5,10,"Maine","LuxurySedan",3,"consume"
179,124552,497211,"Finance",55,4,7,"Rhode Island","Compact/Hybrid",1,"consume"
180,113679,427554,"Finance",48,5,17,"Rhode Island","SUV",5,"consume"
181,113078,508484,"Finance",40,5,11,"New Hampshire","Sedan",1,"entertain"
182,71109,513526,"Govt",38,2,14,"US_Other","LuxurySedan",5,"consume"
183,40687,403023,"Govt",42,4,16,"Vermont","SUV",5,"consume"
184,73485,513947,"Govt",45,5,17,"Quebec","LuxurySedan",3,"consume"
185,84863,351394,"Other",36,4,7,"New Hampshire","Sedan",5,"entertain"
186,50236,464563,"Govt",43,5,10,"Maine","Sedan",4,"entertain"
187,92238,492194,"Manufacturing",42,5,16,"Maine","Sedan",4,"entertain"
188,107499,617534,"Services",52,3,12,"Ontario","SUV",2,"consume"
189,127101,466535,"Finance",48,4,10,"Quebec","SUV",4,"entertain"
190,158044,556237,"Manufacturing",52,3,15,"Maine","LuxurySedan",5,"consume"
191,155572,458737,"Finance",50,2,16,"Ontario","SUV",2,"consume"
192,85760,545159,"Govt",48,2,13,"Vermont","Pickup",5,"consume"
193,68934,533927,"Govt",41,3,17,"New York","Sedan",3,"consume"
194,112856,445065,"Finance",45,3,12,"Maine","SUV",3,"consume"
195,73105,438142,"Govt",40,5,13,"Maine","SUV",0,"entertain"
196,105348,446489,"Tech",46,3,14,"Vermont","Pickup",4,"consume"
197,87433,428836,"Other",49,3,14,"Maine","LuxurySedan",4,"entertain"
198,72478,562909,"Govt",48,2,18,"Can_Other","SUV",8,"consume"
199,96584,569330,"Govt",52,4,10,"Vermont","SUV",5,"consume"
200,67712,323504,"Services",61,4,16,"Quebec","SUV",7,"entertain"
201,111947,538825,"Finance",39,4,8,"Quebec","LuxurySedan",0,"consume"
202,41997,395187,"Services",44,6,14,"Maine","Pickup",5,"entertain"
203,62742,355212,"Finance",39,3,10,"Maine","Pickup",3,"entertain"
204,71113,381212,"Services",46,5,15,"Maine","SUV",5,"entertain"
205,76942,315043,"Finance",56,1,56,"New York","Pickup",6,"entertain"
206,94205,524052,"Govt",44,2,19,"Vermont","LuxurySedan",5,"consume"
207,122104,550795,"Services",51,4,12,"Vermont","SUV",1,"consume"
208,78333,478857,"Education",42,2,19,"Massachusetts","SUV",7,"consume"
209,79366,562688,"Govt",41,5,14,"Maine","Sedan",8,"entertain"
210,93794,406081,"Services",42,4,14,"Rhode Island","SUV",1,"entertain"
211,66045,422165,"Education",46,4,16,"New York","Compact/Hybrid",6,"consume"
212,78759,562865,"Govt",50,3,11,"Maine","LuxurySedan",6,"consume"
213,76555,430795,"Govt",45,4,13,"Maine","LuxurySedan",4,"entertain"
214,79336,423228,"Govt",48,4,5,"Maine","LuxurySedan",4,"consume"
215,143444,519465,"Tech",52,1,52,"Rhode Island","LuxurySedan",4,"consume"
216,120660,517060,"Tech",38,6,8,"Maine","Sedan",5,"entertain"
217,78496,383955,"Finance",44,6,16,"Ontario","SUV",4,"entertain"
218,87700,521976,"Services",43,4,16,"New Hampshire","SUV",4,"entertain"
219,89820,511410,"Other",45,7,13,"Maine","Sedan",5,"entertain"
220,137346,523083,"Finance",36,2,15,"Rhode Island","SUV",5,"entertain"
221,75278,529290,"Govt",49,6,10,"Rhode Island","SUV",0,"entertain"
222,100150,428751,"Tech",51,4,15,"Maine","Sedan",3,"consume"
223,102073,457291,"Govt",42,7,4,"Maine","LuxurySedan",4,"entertain"
224,84303,404998,"Tech",43,8,10,"Maine","LuxurySedan",3,"consume"
225,81964,550720,"Education",35,5,15,"Maine","Pickup",7,"entertain"
226,63832,434315,"Services",41,4,17,"Maine","SUV",5,"consume"
227,65895,511915,"Govt",47,3,12,"Maine","LuxurySedan",4,"consume"
228,131670,578628,"Finance",47,2,12,"Vermont","SUV",3,"entertain"
229,76278,463838,"Other",47,3,12,"New Hampshire","SUV",3,"entertain"
230,63367,495355,"Govt",40,3,18,"Quebec","LuxurySedan",5,"entertain"
231,78599,479746,"Education",47,1,47,"Massachusetts","Sedan",5,"entertain"
232,58780,481903,"Education",42,5,17,"Maine","LuxurySedan",3,"entertain"
233,49494,486911,"Govt",41,5,13,"Maine","LuxurySedan",3,"consume"
234,152190,615209,"Finance",48,6,13,"Maine","Compact/Hybrid",4,"entertain"
235,81090,535779,"Govt",56,6,6,"Maine","SUV",3,"entertain"
236,132680,495855,"Tech",48,5,9,"Maine","Compact/Hybrid",7,"entertain"
237,79117,421768,"Govt",36,4,17,"Massachusetts","Pickup",4,"entertain"
238,63781,399115,"Education",46,5,14,"New York","LuxurySedan",3,"consume"
239,48395,431242,"Education",39,7,13,"New Hampshire","LuxurySedan",5,"entertain"
240,121064,619812,"Govt",45,6,11,"New Hampshire","LuxurySedan",4,"consume"
241,108463,450330,"Finance",43,3,7,"Maine","LuxurySedan",4,"consume"
242,50774,458109,"Education",54,3,14,"New Hampshire","Pickup",4,"consume"
243,86884,361269,"Finance",51,6,13,"Maine","SUV",3,"entertain"
244,59508,444416,"Govt",55,7,13,"New Hampshire","SUV",5,"consume"
245,124365,561860,"Education",44,6,19,"Quebec","Sedan",3,"entertain"
246,74472,478167,"Education",47,5,16,"Maine","SUV",5,"consume"
247,126001,514508,"Finance",50,7,9,"Maine","SUV",6,"entertain"
248,115917,501397,"Education",49,4,12,"Rhode Island","Pickup",4,"entertain"
249,108766,532615,"Finance",47,4,16,"Maine","SUV",4,"consume"
250,88685,567347,"Services",47,4,16,"Massachusetts","Sedan",7,"entertain"
251,115111,476014,"Tech",54,7,8,"Maine","LuxurySedan",4,"consume"
252,134679,453629,"Tech",43,3,13,"Maine","SUV",4,"entertain"
253,62464,426801,"Govt",57,6,13,"US_Other","SUV",5,"consume"
254,87813,532680,"Govt",44,5,11,"Rhode Island","",7,"entertain"
255,77496,407252,"Finance",42,4,9,"New York","LuxurySedan",3,"entertain"
256,74130,350935,"Tech",51,4,9,"Maine","Sedan",3,"consume"
257,84752,444604,"Finance",34,8,12,"Ontario","Sedan",5,"consume"
258,95119,371212,"Finance",47,4,7,"New York","SUV",4,"entertain"
259,30578,353201,"Govt",47,7,13,"Maine","Sedan",5,"consume"
260,61408,421721,"Govt",44,2,17,"Vermont","SUV",1,"entertain"
261,111880,469622,"Finance",41,3,18,"Maine","Compact/Hybrid",3,"consume"
262,120074,460048,"Finance",47,5,9,"Maine","SUV",4,"consume"
263,83855,527702,"Services",43,6,14,"Maine","Pickup",6,"entertain"
264,112372,402132,"Finance",48,1,48,"Maine","SUV",3,"entertain"
265,102194,490218,"Other",40,8,9,"Maine","LuxurySedan",3,"entertain"
266,90112,483332,"Govt",45,5,18,"New Hampshire","LuxurySedan",3,"consume"
267,86618,360230,"Tech",43,4,18,"Connecticut","SUV",8,"consume"
268,113452,494747,"Services",37,4,12,"Maine","LuxurySedan",5,"consume"
269,74847,425690,"Services",52,8,12,"Maine","Pickup",3,"entertain"
270,82816,343052,"Finance",44,2,17,"Maine","SUV",3,"consume"
271,104036,470880,"Other",45,5,13,"Maine","Sedan",4,"entertain"
272,83912,494031,"Govt",43,4,16,"Ontario","SUV",5,"consume"
273,78043,446837,"Education",40,5,25,"New Hampshire","Pickup",3,"entertain"
274,154523,603697,"Finance",51,5,13,"Maine","LuxurySedan",5,"entertain"
275,124829,454132,"Finance",46,7,17,"Massachusetts","Pickup",1,"entertain"
276,55085,414529,"Services",46,2,15,"Maine","LuxurySedan",3,"entertain"
277,83850,466383,"Govt",52,7,14,"Connecticut","Pickup",3,"entertain"
278,109326,538367,"Govt",53,5,19,"Maine","Sedan",4,"entertain"
279,87519,514361,"Govt",39,5,8,"Ontario","Sedan",5,"entertain"
280,114072,503980,"Finance",38,2,16,"Maine","LuxurySedan",5,"consume"
281,102203,520949,"Education",41,7,15,"New Hampshire","LuxurySedan",2,"entertain"
282,155156,545242,"Tech",46,2,13,"Massachusetts","SUV",3,"consume"
283,72951,412476,"Tech",50,6,13,"Quebec","SUV",3,"entertain"
284,106056,521244,"Govt",46,1,46,"Maine","SUV",3,"entertain"
285,125339,532496,"Finance",53,2,19,"Connecticut","LuxurySedan",4,"consume"
286,83104,568217,"Govt",37,5,16,"Maine","Compact/Hybrid",5,"entertain"
287,50243,379033,"Education",52,4,14,"Maine","SUV",3,"consume"
288,106689,408250,"Finance",42,1,42,"New Hampshire","SUV",3,"consume"
289,73598,446509,"Services",50,7,12,"Maine","SUV",5,"consume"
290,144045,559091,"Tech",47,4,11,"New Hampshire","",5,"entertain"
291,129632,552408,"Finance",48,4,14,"Maine","SUV",5,"consume"
292,127384,460657,"Tech",47,3,15,"Maine","LuxurySedan",4,"entertain"
293,81414,425657,"Education",46,7,17,"Maine","Sedan",6,"entertain"
294,85633,436036,"Govt",45,4,22,"Maine","Sedan",3,"entertain"
295,115598,567673,"Manufacturing",51,5,16,"New Hampshire","SUV",1,"entertain"
296,90631,345656,"Education",49,4,12,"New Hampshire","SUV",5,"consume"
297,136365,462804,"Tech",49,6,8,"Quebec","SUV",4,"consume"
298,88960,446904,"Tech",44,6,12,"Vermont","SUV",6,"entertain"
299,81353,407057,"Services",36,4,8,"Maine","Sedan",3,"consume"
300,62122,359218,"Tech",51,6,11,"Quebec","SUV",2,"entertain"
301,81823,536503,"Govt",52,6,15,"Vermont","Compact/Hybrid",5,"entertain"
302,120354,483317,"Finance",43,5,5,"Rhode Island","Sedan",6,"consume"
303,55879,427445,"Govt",49,2,8,"Maine","",3,"consume"
304,44309,411400,"Services",50,4,18,"Maine","LuxurySedan",4,"consume"
305,134916,488979,"Tech",49,3,12,"Maine","LuxurySedan",2,"entertain"
306,50252,348401,"Education",49,4,12,"Maine","Sedan",6,"consume"
307,77983,468564,"Services",46,4,15,"Maine","Pickup",5,"entertain"
308,63584,486497,"Govt",37,5,14,"Rhode Island","SUV",5,"entertain"
309,94959,483145,"Services",43,4,13,"Vermont","LuxurySedan",2,"entertain"
310,53526,461342,"Govt",47,3,7,"Connecticut","LuxurySedan",2,"entertain"
311,88331,391537,"Tech",44,5,13,"New York","LuxurySedan",3,"consume"
312,84290,485154,"Finance",45,8,9,"New Hampshire","SUV",2,"consume"
313,138579,527416,"Services",38,6,11,"Maine","SUV",3,"entertain"
314,78227,438865,"Govt",43,1,43,"Rhode Island","LuxurySedan",1,"consume"
315,88060,325192,"Tech",45,2,9,"Rhode Island","SUV",3,"entertain"
316,106654,456694,"Tech",47,4,12,"Ontario","LuxurySedan",4,"entertain"
317,58229,439035,"Govt",47,4,15,"Maine","Sedan",3,"entertain"
318,90514,448963,"Govt",47,3,17,"US_Other","LuxurySedan",6,"entertain"
319,107521,412159,"Govt",43,6,10,"Rhode Island","Pickup",5,"consume"
320,122733,523210,"Education",53,4,13,"Maine","",4,"entertain"
321,97008,597241,"Govt",42,5,16,"Maine","SUV",1,"consume"
322,125215,526501,"Finance",47,4,14,"Maine","SUV",5,"entertain"
323,106871,455628,"Finance",48,5,7,"Maine","",3,"consume"
324,84636,468755,"Govt",50,6,14,"Maine","",5,"consume"
325,48831,354465,"Education",48,4,12,"Ontario","Compact/Hybrid",5,"entertain"
326,76220,402746,"Services",44,4,18,"Maine","SUV",4,"consume"
327,82080,463571,"Govt",47,4,11,"New Hampshire","LuxurySedan",7,"entertain"
328,80777,516035,"Manufacturing",46,7,9,"Maine","LuxurySedan",5,"entertain"
329,105438,561956,"Tech",40,5,11,"Maine","LuxurySedan",2,"entertain"
330,104104,428459,"Education",46,6,8,"US_Other","Sedan",6,"consume"
331,65777,332404,"Other",41,5,14,"US_Other","Compact/Hybrid",5,"entertain"
332,96339,451200,"Services",51,3,16,"New Hampshire","Sedan",7,"consume"
333,119365,484232,"Tech",47,5,18,"Maine","SUV",4,"consume"
334,146959,444355,"Finance",47,4,20,"Vermont","Sedan",5,"consume"
335,98094,543246,"Services",46,4,13,"Maine","SUV",5,"consume"
336,104068,466803,"Finance",40,5,9,"Maine","Sedan",3,"consume"
337,84179,422928,"Tech",40,6,11,"New York","SUV",4,"entertain"
338,115475,494055,"Finance",52,4,11,"Maine","Pickup",2,"consume"
339,100021,544467,"Finance",39,4,12,"Ontario","LuxurySedan",4,"entertain"
340,128619,609975,"Tech",44,4,12,"Maine","LuxurySedan",4,"entertain"
341,143731,543059,"Tech",43,6,10,"Ontario","Compact/Hybrid",4,"entertain"
342,37900,370764,"Govt",47,3,12,"New York","SUV",1,"entertain"
343,79385,316061,"Finance",50,4,14,"Vermont","SUV",6,"entertain"
344,107777,438501,"Education",50,6,14,"US_Other","SUV",2,"consume"
345,97730,487785,"Tech",44,3,21,"Ontario","Sedan",6,"entertain"
346,134755,571029,"Finance",47,5,17,"Maine","Compact/Hybrid",5,"entertain"
347,130290,544861,"Finance",56,6,14,"Vermont","SUV",4,"entertain"
348,75420,462039,"Govt",42,3,19,"Quebec","LuxurySedan",3,"entertain"
349,132061,593091,"Manufacturing",54,1,54,"US_Other","SUV",4,"consume"
350,97459,481683,"Services",47,7,11,"New Hampshire","LuxurySedan",6,"entertain"
351,67562,411536,"Other",45,4,10,"Maine","Sedan",2,"consume"
352,47619,378999,"Govt",50,3,11,"New Hampshire","Pickup",4,"consume"
353,68519,410360,"Govt",43,2,15,"New Hampshire","Sedan",5,"entertain"
354,53410,455289,"Govt",45,2,16,"New Hampshire","SUV",6,"entertain"
355,64508,282055,"Finance",48,3,18,"Quebec","LuxurySedan",3,"consume"
356,108937,302502,"Finance",41,3,10,"New York","LuxurySedan",5,"consume"
357,88840,470647,"Services",59,6,14,"Maine","SUV",3,"consume"
358,117914,449693,"Finance",53,3,17,"Rhode Island","SUV",4,"consume"
359,157129,589536,"Tech",44,5,13,"Vermont","SUV",5,"entertain"
360,86467,450861,"Education",52,4,19,"Maine","Sedan",6,"entertain"
361,83911,427540,"Other",56,2,14,"Maine","LuxurySedan",5,"entertain"
362,77931,380297,"Finance",45,7,16,"Ontario","SUV",4,"consume"
363,89372,457499,"Tech",41,7,12,"US_Other","Sedan",5,"entertain"
364,112459,566174,"Tech",47,4,9,"Maine","SUV",2,"consume"
365,80283,491422,"Govt",57,4,13,"Connecticut","SUV",6,"entertain"
366,69062,356009,"Finance",53,5,6,"New Hampshire","Sedan",5,"entertain"
